# q1274 repair-r100 parity fixtures v1
# rule: seed_i = "ecdsa.fail|q1274-repair-r100|source=fe0b7bac6348fb35b7680784d4295899e498d0e3|evidence=d793aa293823b7541c933fa666dd5fc830ac58ea|ops=4c68597468ed1dbb4f2e33042842227bf57c011c51f41e9cdaf13c73194b1f8c|parity-v1|%02d" % i, for i=0..31
# rule: sha_i = lowercase SHA-256(seed_i UTF-8); nonce_i = int(sha_i[0:12], 16), so 0 <= nonce_i < 2^48
# source_commit	fe0b7bac6348fb35b7680784d4295899e498d0e3
# evidence_commit	d793aa293823b7541c933fa666dd5fc830ac58ea
# target_ops_sha256	4c68597468ed1dbb4f2e33042842227bf57c011c51f41e9cdaf13c73194b1f8c
# target_ops_count	12920073
# target_qubits	1274
index	nonce	seed	sha256
15	109443503603564	ecdsa.fail|q1274-repair-r100|source=fe0b7bac6348fb35b7680784d4295899e498d0e3|evidence=d793aa293823b7541c933fa666dd5fc830ac58ea|ops=4c68597468ed1dbb4f2e33042842227bf57c011c51f41e9cdaf13c73194b1f8c|parity-v1|15	6389cd27bf6c3ee7d33f982d13506e82bcb1593b7277bf900bfc122e095c3559
16	179123076243011	ecdsa.fail|q1274-repair-r100|source=fe0b7bac6348fb35b7680784d4295899e498d0e3|evidence=d793aa293823b7541c933fa666dd5fc830ac58ea|ops=4c68597468ed1dbb4f2e33042842227bf57c011c51f41e9cdaf13c73194b1f8c|parity-v1|16	a2e957549e431eb036c1ec2c76c37cef986ba2b68b4e40aca5d9b4df4e91b1c7
17	77422865218127	ecdsa.fail|q1274-repair-r100|source=fe0b7bac6348fb35b7680784d4295899e498d0e3|evidence=d793aa293823b7541c933fa666dd5fc830ac58ea|ops=4c68597468ed1dbb4f2e33042842227bf57c011c51f41e9cdaf13c73194b1f8c|parity-v1|17	466a6a60fa4fa851a646661386e793e7e01c4d8a91566c9f5275c3c42f6262c1
18	19952693519704	ecdsa.fail|q1274-repair-r100|source=fe0b7bac6348fb35b7680784d4295899e498d0e3|evidence=d793aa293823b7541c933fa666dd5fc830ac58ea|ops=4c68597468ed1dbb4f2e33042842227bf57c011c51f41e9cdaf13c73194b1f8c|parity-v1|18	12259935a558aca4ba57b3d68fec2fa50a4049157120d15f668408e296dc1203
19	190342654874250	ecdsa.fail|q1274-repair-r100|source=fe0b7bac6348fb35b7680784d4295899e498d0e3|evidence=d793aa293823b7541c933fa666dd5fc830ac58ea|ops=4c68597468ed1dbb4f2e33042842227bf57c011c51f41e9cdaf13c73194b1f8c|parity-v1|19	ad1d9a54528a0f8aab6aa778f48252c9b610f8f0ef7c3432b1281b6ff46fb901
20	277430878629906	ecdsa.fail|q1274-repair-r100|source=fe0b7bac6348fb35b7680784d4295899e498d0e3|evidence=d793aa293823b7541c933fa666dd5fc830ac58ea|ops=4c68597468ed1dbb4f2e33042842227bf57c011c51f41e9cdaf13c73194b1f8c|parity-v1|20	fc5268f87012dab5367099b411f385e098d39cbf58eb61c466419c8b53cff6e6
21	74031935409586	ecdsa.fail|q1274-repair-r100|source=fe0b7bac6348fb35b7680784d4295899e498d0e3|evidence=d793aa293823b7541c933fa666dd5fc830ac58ea|ops=4c68597468ed1dbb4f2e33042842227bf57c011c51f41e9cdaf13c73194b1f8c|parity-v1|21	4354e7364db2ead29b349df7250e168f50ab69ce5d95037f38c1b0eecb3f728f
22	250896018479600	ecdsa.fail|q1274-repair-r100|source=fe0b7bac6348fb35b7680784d4295899e498d0e3|evidence=d793aa293823b7541c933fa666dd5fc830ac58ea|ops=4c68597468ed1dbb4f2e33042842227bf57c011c51f41e9cdaf13c73194b1f8c|parity-v1|22	e430480e99f066e2e306f9aa5fe5eadb9629454974219962f75b615952a3e555
23	5791289350141	ecdsa.fail|q1274-repair-r100|source=fe0b7bac6348fb35b7680784d4295899e498d0e3|evidence=d793aa293823b7541c933fa666dd5fc830ac58ea|ops=4c68597468ed1dbb4f2e33042842227bf57c011c51f41e9cdaf13c73194b1f8c|parity-v1|23	054463be97fd8d481fe7e6e7c53cd0edd85170ffce38c19280cc88c93e472e18
24	219715985778334	ecdsa.fail|q1274-repair-r100|source=fe0b7bac6348fb35b7680784d4295899e498d0e3|evidence=d793aa293823b7541c933fa666dd5fc830ac58ea|ops=4c68597468ed1dbb4f2e33042842227bf57c011c51f41e9cdaf13c73194b1f8c|parity-v1|24	c7d49d48a69ea4056d0a0869abeb3ec7625cd3d92dd58dbbe084d54e468ba183
25	269965684130579	ecdsa.fail|q1274-repair-r100|source=fe0b7bac6348fb35b7680784d4295899e498d0e3|evidence=d793aa293823b7541c933fa666dd5fc830ac58ea|ops=4c68597468ed1dbb4f2e33042842227bf57c011c51f41e9cdaf13c73194b1f8c|parity-v1|25	f58848b44313f164de01af19498ff5322e44a8a8d53efc084262fa38e00dc29c
26	88225731447388	ecdsa.fail|q1274-repair-r100|source=fe0b7bac6348fb35b7680784d4295899e498d0e3|evidence=d793aa293823b7541c933fa666dd5fc830ac58ea|ops=4c68597468ed1dbb4f2e33042842227bf57c011c51f41e9cdaf13c73194b1f8c|parity-v1|26	503da7620a5ce8d601993429e8012c140aa3160e14c184f1f11ef23fa7f47c20
27	148606448871197	ecdsa.fail|q1274-repair-r100|source=fe0b7bac6348fb35b7680784d4295899e498d0e3|evidence=d793aa293823b7541c933fa666dd5fc830ac58ea|ops=4c68597468ed1dbb4f2e33042842227bf57c011c51f41e9cdaf13c73194b1f8c|parity-v1|27	87282298a71d39a4b1ad195c89ba31b698d7cbbd6dd1ebf047960cab338619f9
28	246582411093822	ecdsa.fail|q1274-repair-r100|source=fe0b7bac6348fb35b7680784d4295899e498d0e3|evidence=d793aa293823b7541c933fa666dd5fc830ac58ea|ops=4c68597468ed1dbb4f2e33042842227bf57c011c51f41e9cdaf13c73194b1f8c|parity-v1|28	e043f105673e37c05c73ab729f6daf7b89e12a58ac4a5f164590d573ec0d8852
29	205682175601298	ecdsa.fail|q1274-repair-r100|source=fe0b7bac6348fb35b7680784d4295899e498d0e3|evidence=d793aa293823b7541c933fa666dd5fc830ac58ea|ops=4c68597468ed1dbb4f2e33042842227bf57c011c51f41e9cdaf13c73194b1f8c|parity-v1|29	bb111d036a923ca83b82c8cfc425fe6995b030a0d1750368f6e18334d73ef99f
30	229671840919483	ecdsa.fail|q1274-repair-r100|source=fe0b7bac6348fb35b7680784d4295899e498d0e3|evidence=d793aa293823b7541c933fa666dd5fc830ac58ea|ops=4c68597468ed1dbb4f2e33042842227bf57c011c51f41e9cdaf13c73194b1f8c|parity-v1|30	d0e2a47e2fbbbafe319d75634542df33294ca6a99a6ba1f258ed6568272cdbea
31	176545617382257	ecdsa.fail|q1274-repair-r100|source=fe0b7bac6348fb35b7680784d4295899e498d0e3|evidence=d793aa293823b7541c933fa666dd5fc830ac58ea|ops=4c68597468ed1dbb4f2e33042842227bf57c011c51f41e9cdaf13c73194b1f8c|parity-v1|31	a0913acf8b71a0410b6d24c1e9a4d85d8869d71d69e4bdc16c046608ac83f60f
