# q1274 repair-r100 exact classical failing-shot sets
# Every row appeared identically in the final ppcpu predictor and the logging-only full 9024-shot evaluator.
# source=fe0b7bac6348fb35b7680784d4295899e498d0e3 evidence=d793aa293823b7541c933fa666dd5fc830ac58ea ops=4c68597468ed1dbb4f2e33042842227bf57c011c51f41e9cdaf13c73194b1f8c
# mask: 1=walk_div 2=replay_div 4=walk_mul 8=replay_mul 16=result
case	nonce	shot	mask
fixture-3	12909430816056	3531	1
fixture-3	12909430816056	3670	1
fixture-3	12909430816056	5633	1
fixture-3	12909430816056	5644	1
fixture-3	12909430816056	6143	4
fixture-3	12909430816056	6217	1
fixture-3	12909430816056	6953	4
fixture-3	12909430816056	7462	4
fixture-3	12909430816056	8327	4
fixture-3	12909430816056	8804	4
fixture-4	65511261373299	3643	1
fixture-4	65511261373299	4306	4
fixture-4	65511261373299	4328	1
fixture-4	65511261373299	5344	4
fixture-4	65511261373299	5656	4
fixture-4	65511261373299	7736	4
fixture-4	65511261373299	7979	1
fixture-4	65511261373299	8220	4
fixture-4	65511261373299	8433	4
ext-0	248914870509046	1582	4
ext-0	248914870509046	2188	4
ext-0	248914870509046	2384	4
ext-0	248914870509046	2795	8
ext-0	248914870509046	2891	1
ext-0	248914870509046	3550	4
ext-0	248914870509046	3651	4
ext-0	248914870509046	3904	8
ext-0	248914870509046	5496	1
ext-0	248914870509046	5974	4
ext-0	248914870509046	6133	4
ext-0	248914870509046	6498	1
ext-0	248914870509046	6760	4
ext-0	248914870509046	7149	4
ext-0	248914870509046	7175	1
ext-0	248914870509046	7955	4
ext-0	248914870509046	8182	1
ext-0	248914870509046	8623	1
ext-0	248914870509046	8712	8
ext-1	200464614537294	61	4
ext-1	200464614537294	225	4
ext-1	200464614537294	777	1
ext-1	200464614537294	1211	1
ext-1	200464614537294	2638	4
ext-1	200464614537294	2892	4
ext-1	200464614537294	3199	1
ext-1	200464614537294	3862	1
ext-1	200464614537294	4196	8
ext-1	200464614537294	5001	1
ext-1	200464614537294	5464	2
ext-1	200464614537294	5610	4
ext-1	200464614537294	6950	4
ext-1	200464614537294	7282	4
ext-1	200464614537294	7506	1
ext-1	200464614537294	7759	1
ext-2	269472481077161	1208	2
ext-2	269472481077161	1308	1
ext-2	269472481077161	2136	4
ext-2	269472481077161	2401	1
ext-2	269472481077161	2585	1
ext-2	269472481077161	3651	1
ext-2	269472481077161	3932	4
ext-2	269472481077161	4608	4
ext-2	269472481077161	5129	4
ext-2	269472481077161	5691	4
ext-2	269472481077161	6046	1
ext-2	269472481077161	7770	1
ext-2	269472481077161	8183	4
ext-2	269472481077161	8287	4
ext-3	107056343334753	138	8
ext-3	107056343334753	1363	2
ext-3	107056343334753	2805	4
ext-3	107056343334753	2912	4
ext-3	107056343334753	3138	4
ext-3	107056343334753	3524	2
ext-3	107056343334753	3546	2
ext-3	107056343334753	6750	2
ext-3	107056343334753	6940	4
ext-3	107056343334753	8818	1
ext-4	109186235979289	1495	1
ext-4	109186235979289	1784	1
ext-4	109186235979289	3802	4
ext-4	109186235979289	4114	4
ext-4	109186235979289	4333	1
ext-4	109186235979289	4927	4
ext-4	109186235979289	5460	1
ext-4	109186235979289	5613	4
ext-4	109186235979289	5865	1
ext-4	109186235979289	5941	1
ext-4	109186235979289	6474	4
ext-4	109186235979289	7068	1
ext-4	109186235979289	8088	2
ext-4	109186235979289	8651	1
ext-5	12679622957485	127	1
ext-5	12679622957485	826	1
ext-5	12679622957485	1478	1
ext-5	12679622957485	2158	4
ext-5	12679622957485	2515	4
ext-5	12679622957485	4106	4
ext-5	12679622957485	4167	1
ext-5	12679622957485	4305	1
ext-5	12679622957485	4756	1
ext-5	12679622957485	4891	1
ext-5	12679622957485	6662	1
ext-6	153431043467723	520	4
ext-6	153431043467723	828	1
ext-6	153431043467723	1624	1
ext-6	153431043467723	1931	4
ext-6	153431043467723	2031	4
ext-6	153431043467723	2328	4
ext-6	153431043467723	3118	8
ext-6	153431043467723	3643	4
ext-6	153431043467723	4142	4
ext-6	153431043467723	4152	1
ext-6	153431043467723	4513	4
ext-6	153431043467723	4525	4
ext-6	153431043467723	4601	1
ext-6	153431043467723	4715	1
ext-6	153431043467723	5745	1
ext-6	153431043467723	6128	1
ext-6	153431043467723	7321	1
ext-6	153431043467723	7966	1
ext-6	153431043467723	8290	4
ext-7	30329995037154	8	1
ext-7	30329995037154	47	4
ext-7	30329995037154	50	4
ext-7	30329995037154	65	1
ext-7	30329995037154	1202	4
ext-7	30329995037154	1584	4
ext-7	30329995037154	2563	8
ext-7	30329995037154	4776	1
ext-7	30329995037154	5724	1
ext-7	30329995037154	5726	4
ext-7	30329995037154	7312	1
ext-7	30329995037154	7588	4
ext-7	30329995037154	7821	4
ext-7	30329995037154	8263	1
ext-7	30329995037154	8726	1
ext-8	63846899198573	1706	1
ext-8	63846899198573	1920	8
ext-8	63846899198573	2913	1
ext-8	63846899198573	3682	1
ext-8	63846899198573	4581	1
ext-8	63846899198573	5166	1
ext-8	63846899198573	5262	4
ext-8	63846899198573	5529	4
ext-8	63846899198573	6071	4
ext-8	63846899198573	6633	4
ext-8	63846899198573	8548	4
ext-9	71599102709711	529	1
ext-9	71599102709711	600	4
ext-9	71599102709711	801	1
ext-9	71599102709711	3512	4
ext-9	71599102709711	4016	1
ext-9	71599102709711	6039	4
ext-9	71599102709711	6090	4
ext-9	71599102709711	6215	1
ext-9	71599102709711	6407	4
ext-9	71599102709711	6408	8
ext-9	71599102709711	8086	1
ext-9	71599102709711	8525	4
ext-9	71599102709711	8690	4
ext-10	205769309325701	739	1
ext-10	205769309325701	1738	1
ext-10	205769309325701	1796	1
ext-10	205769309325701	2347	1
ext-10	205769309325701	2380	4
ext-10	205769309325701	2391	4
ext-10	205769309325701	2811	1
ext-10	205769309325701	2947	4
ext-10	205769309325701	2959	4
ext-10	205769309325701	3019	2
ext-10	205769309325701	3138	4
ext-10	205769309325701	4287	2
ext-10	205769309325701	5786	1
ext-10	205769309325701	6392	1
ext-10	205769309325701	7265	1
ext-10	205769309325701	7273	1
ext-10	205769309325701	7737	4
ext-10	205769309325701	7843	1
ext-10	205769309325701	8518	4
ext-11	236213025161514	1094	1
ext-11	236213025161514	2571	4
ext-11	236213025161514	2868	1
ext-11	236213025161514	3103	4
ext-11	236213025161514	3466	4
ext-11	236213025161514	3951	4
ext-11	236213025161514	4514	1
ext-11	236213025161514	4739	4
ext-11	236213025161514	5067	1
ext-11	236213025161514	5815	4
ext-11	236213025161514	6599	4
ext-11	236213025161514	8384	1
ext-11	236213025161514	8627	4
ext-11	236213025161514	8903	4
ext-11	236213025161514	8987	4
ext-12	117850942287407	2775	2
ext-12	117850942287407	2881	4
ext-12	117850942287407	3652	4
ext-12	117850942287407	4216	4
ext-12	117850942287407	4793	8
ext-12	117850942287407	5469	4
ext-12	117850942287407	6531	4
ext-12	117850942287407	8350	4
ext-12	117850942287407	8455	1
ext-13	56005648468635	402	1
ext-13	56005648468635	1015	1
ext-13	56005648468635	2307	4
ext-13	56005648468635	2504	2
ext-13	56005648468635	2662	1
ext-13	56005648468635	2710	4
ext-13	56005648468635	3330	1
ext-13	56005648468635	4158	1
ext-13	56005648468635	4783	4
ext-13	56005648468635	5438	4
ext-13	56005648468635	5466	4
ext-13	56005648468635	5710	1
ext-13	56005648468635	5799	4
ext-13	56005648468635	6396	1
ext-13	56005648468635	6512	4
ext-13	56005648468635	7274	1
ext-13	56005648468635	8349	4
ext-14	151276714938924	59	8
ext-14	151276714938924	144	4
ext-14	151276714938924	189	2
ext-14	151276714938924	1302	1
ext-14	151276714938924	1898	1
ext-14	151276714938924	2097	1
ext-14	151276714938924	2425	4
ext-14	151276714938924	2635	1
ext-14	151276714938924	3125	1
ext-14	151276714938924	3783	1
ext-14	151276714938924	4756	4
ext-14	151276714938924	4916	4
ext-14	151276714938924	5529	8
ext-14	151276714938924	5772	2
ext-14	151276714938924	6216	1
ext-14	151276714938924	6358	4
ext-14	151276714938924	6588	1
ext-14	151276714938924	6838	4
ext-14	151276714938924	8288	1
ext-15	227714064851892	36	4
ext-15	227714064851892	539	1
ext-15	227714064851892	551	4
ext-15	227714064851892	2673	2
ext-15	227714064851892	2977	2
ext-15	227714064851892	3642	1
ext-15	227714064851892	7014	2
ext-15	227714064851892	7145	4
ext-15	227714064851892	7373	1
ext-15	227714064851892	7738	4
ext-15	227714064851892	7983	4
ext-15	227714064851892	8513	1
ext-15	227714064851892	8869	4
